"fecha";"real";"pred"
2024-05-21;17515,6;16782,5568961204
2024-05-22;17482,2;16828,5140679548
2024-05-23;17876,9;16678,1235621668
2024-05-24;18429,6;17998,1841628298
2024-05-25;17116,1;17623,0879901489
2024-05-26;17116,9;17085,7482773858
2024-05-27;19150,4;17840,7221667267
2024-05-28;19023,7;17806,2400993448
2024-05-29;18116;17568,4664713928
2024-05-30;17231,5;16631,7349550889
2024-05-31;16969,7;16452,644094038
2024-06-01;14676,9;14204,0836946405
2024-06-02;14616,5;13784,9618271233
2024-06-03;17877,2;16860,4922146147
2024-06-04;18500;17603,4329659869
2024-06-05;17506,8;17160,775635564
2024-06-06;16112,1;16263,7697036691
2024-06-07;15374,6;15457,8117901747
2024-06-08;13748;13445,4132644944
2024-06-09;12462,6;13124,9804922053
2024-06-10;14587,3;13622,7863635274
2024-06-11;15595,9;14867,9714454478
2024-06-12;15288,8;15184,9038508911
2024-06-13;14689,6;15861,5997129088
2024-06-14;14593,4;14765,4570821726
2024-06-15;13797,8;13073,86886329
2024-06-16;12979,6;13092,5894919578
2024-06-17;13839,1;12582,4004565715
2024-06-18;15067,5;14321,3106292744
2024-06-19;15266,2;15042,2839809245
2024-06-20;14670,9;14167,3534118646
2024-06-21;14186;13153,4565981049
2024-06-22;13650;12827,7248587623
2024-06-23;13946;13347,1900131721
2024-06-24;17409,7;16451,8097599032
2024-06-25;18715,9;18686,3268228492
2024-06-26;18590,5;18267,1972216524
2024-06-27;17788,2;17195,6622072098
2024-06-28;17833,2;17683,9572999641
2024-06-29;17699,3;17939,9404503188
2024-06-30;16689,6;16906,8256240976
2024-07-01;17810;16346,8735118524
2024-07-02;17387,3;16799,5865156621
2024-07-03;17764,1;17612,1494407366
2024-07-04;18529,5;18718,0314953292
2024-07-05;19259,2;19918,8582196227
2024-07-06;18434,4;19568,1011968378
2024-07-07;17357;17279,8624477449
2024-07-08;19767,2;19758,8236396628
2024-07-09;19036,7;20184,9121893672
2024-07-10;20795,7;21169,2105253864
2024-07-11;20802,4;21268,4602350708
2024-07-12;20394,9;20358,1345368275
2024-07-13;18664,8;18594,9282566495
2024-07-14;17477,4;17641,2562682982
2024-07-15;19150,4;17348,5024372794
2024-07-16;18379,2;17559,6120227011
2024-07-17;17486,3;17056,0463410389
2024-07-18;16785,6;16339,1097283395
2024-07-19;17313,8;16649,1347316329
2024-07-20;17214,2;16010,4241082327
2024-07-21;15796;14968,221587159
2024-07-22;17256,7;15994,8201616826
2024-07-23;17247,2;16762,6404694648
2024-07-24;16333,1;16197,3993937176
2024-07-25;15949,3;15629,8413766567
2024-07-26;15818,6;15959,0668563692
2024-07-27;14765,2;14003,3185779676
2024-07-28;14595,1;14413,3101700504
2024-07-29;17638,6;17258,018505834
2024-07-30;18490,9;17877,2554795552
2024-07-31;17395,1;17145,1187877631
2024-08-01;15553;16187,221548179
2024-08-02;14528,8;16424,9552341743
2024-08-03;13192,2;13001,8681782782
2024-08-04;13136,8;12890,0800564931
2024-08-05;15640,4;14364,4201833756
2024-08-06;15720,4;15244,4963342501
2024-08-07;16561,1;16079,8322682256
2024-08-08;18191,4;18230,6993722067
2024-08-09;18492,6;18910,6054894913
2024-08-10;16474,6;16097,3741300732
2024-08-11;14776,9;14657,1965819204
2024-08-12;17323,9;16761,8421668925
2024-08-13;17182,8;16499,5337723199
2024-08-14;16461,7;16339,5012086371
2024-08-15;15764,1;15833,352567557
2024-08-16;16564,7;16329,4776385129
2024-08-17;14781,5;14702,9190928857
2024-08-18;14152,6;13733,7137910946
2024-08-19;16842,1;15270,0362669073
2024-08-20;18255,7;17966,9735924471
2024-08-21;18153,6;17409,7155264783
2024-08-22;18644,3;18282,1256327347
2024-08-23;18405,9;18702,4487731879
2024-08-24;16837,8;16965,7242800338
2024-08-25;15773,3;16351,9586837749
2024-08-26;17427,4;17493,7518863836
2024-08-27;16907,1;16862,7303830373
2024-08-28;16310;16653,7734755582
2024-08-29;15924,5;15934,6750970134
2024-08-30;16982;16316,6109142336
2024-08-31;16187;15538,2564775752
2024-09-01;14670,3;14620,4324470432
2024-09-02;15772,4;15322,1513543349
2024-09-03;15380,7;15341,0626090197
2024-09-04;15262,5;15380,1198377553
2024-09-05;15479,3;16190,4294294136
2024-09-06;15102,6;15148,1994103094
2024-09-07;13273,2;13280,502772749
2024-09-08;12307,4;12479,4649855348
2024-09-09;14395,8;13641,6324546708
